ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489856,4.588929,15.98893,0.275707,3.105008,0.4266809,NONE
-1,6.520906,4.61107,6.489861,4.588932,15.98893,0.2757336,3.105008,0.4687874,NONE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757406,3.105008,0.494602,NONE
-1,6.520902,4.611067,6.489864,4.588934,15.98893,0.2757423,3.105008,0.5033239,NONE
-1,6.520897,4.611063,6.48987,4.588938,15.98894,0.2757458,3.105008,0.6124423,NONE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757453,3.105015,0.7045606,NONE
-1,6.520884,4.611053,6.489883,4.588948,15.98895,0.2757448,3.105031,0.8015465,NONE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757444,3.105049,0.9037633,NONE
-1,6.520869,4.611043,6.489898,4.588958,15.98896,0.2757446,3.105065,1.006951,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105079,1.104362,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105095,1.201987,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105114,1.305445,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105131,1.402458,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105148,1.505697,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105163,1.602551,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105181,1.705638,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105194,1.80331,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105211,1.900323,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105228,2.004054,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105242,2.103646,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105257,2.201428,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105272,2.305318,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105286,2.403162,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757446,3.105304,2.507034,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.10532,2.603806,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105336,2.701893,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105348,2.801132,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105363,2.9004,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105379,3.000366,ACCELERATE
-1,6.520888,4.611039,6.489879,4.588962,15.98896,0.2757263,3.146657,3.104015,ACCELERATE
-1,6.520946,4.611031,6.489822,4.588971,15.98897,0.2757055,3.330559,3.204034,ACCELERATE
-1,6.521015,4.611023,6.489753,4.588978,15.98898,0.2756982,3.652709,3.303519,ACCELERATE
-1,6.52119,4.611029,6.489578,4.588973,15.98897,0.2854786,4.103305,3.40336,ACCELERATE
-1,6.521393,4.611063,6.489377,4.588938,15.98893,0.2781921,4.672316,3.503118,ACCELERATE
-1,6.52153,4.611129,6.489239,4.588872,15.98887,0.2800575,5.362393,3.603152,ACCELERATE
-1,6.521672,4.611195,6.489098,4.588807,15.9888,0.2788829,6.165035,3.70363,ACCELERATE
-1,6.521883,4.611267,6.488888,4.588734,15.98873,0.2792816,7.086763,3.80624,ACCELERATE
-1,6.522065,4.611343,6.488706,4.588658,15.98865,0.2790439,8.013829,3.900332,ACCELERATE
-1,6.522313,4.611444,6.488459,4.588558,15.98855,0.2792136,9.103846,4.002844,ACCELERATE
-1,6.522573,4.611557,6.4882,4.588444,15.98843,0.2791371,10.23574,4.102612,ACCELERATE
-1,6.522871,4.611693,6.487903,4.588308,15.9883,0.2791754,11.43384,4.202728,ACCELERATE
-1,6.523197,4.611851,6.487577,4.588151,15.98814,0.2791526,12.66121,4.300838,ACCELERATE
-1,6.523582,4.612043,6.487194,4.587958,15.98794,0.2791634,14.01003,4.404623,ACCELERATE
-1,6.523976,4.612248,6.486799,4.587753,15.98774,0.2791578,15.32277,4.502463,ACCELERATE
-1,6.524407,4.612477,6.486369,4.587524,15.9875,0.2791606,16.68649,4.60146,ACCELERATE
-1,6.53442,4.613285,6.476455,4.586727,15.9863,0.2791587,18.09698,4.701564,LEFT_ACCELERATE
-1,6.904328,4.663355,6.153151,4.545877,15.93203,0.2791607,19.59381,4.805934,LEFT_ACCELERATE
-1,7.535165,4.826477,5.705439,4.414221,15.78175,0.2791622,20.98292,4.901966,LEFT_ACCELERATE
-1,7.861619,5.010653,5.450201,4.234026,15.60069,0.2791599,22.49948,5.005493,ACCELERATE
-1,8.110688,5.170132,5.245378,4.074435,15.44311,0.27916,23.9038,5.100413,ACCELERATE
-1,8.366769,5.334116,5.034695,3.910334,15.28011,0.2791599,25.41981,5.202781,ACCELERATE
-1,8.616301,5.493659,4.829518,3.750721,15.12129,0.27916,26.94184,5.305518,ACCELERATE
-1,8.84464,5.639494,4.641857,3.604849,14.97674,0.2791595,28.35446,5.400849,ACCELERATE
-1,9.086974,5.794157,4.442767,3.450165,14.82269,0.2791598,29.88019,5.503799,ACCELERATE
-1,9.264236,5.938527,4.256886,3.305786,14.67965,0.2791595,31.3095,5.600235,ACCELERATE
-1,9.322027,6.09101,4.060534,3.153303,14.5274,0.2791599,32.84021,5.703506,ACCELERATE
-1,9.270009,6.240348,3.868216,3.003968,14.37841,0.2791601,34.34432,5.804979,ACCELERATE
-1,9.118155,6.390053,3.715076,2.854271,14.22954,0.2791597,35.85121,5.906637,ACCELERATE
-1,8.87763,6.51941,3.689962,2.706386,14.08302,0.2791607,37.33693,6.006864,ACCELERATE
-1,8.576707,6.586459,3.835068,2.616695,13.94583,0.2791612,38.72952,6.100807,ACCELERATE
-1,8.175605,6.586415,4.251164,2.620689,13.79696,0.2791603,40.24182,6.202826,ACCELERATE
-1,7.703362,6.501212,5.184202,2.745495,13.64902,0.2791609,41.74524,6.304245,ACCELERATE
-1,7.162313,6.327101,8.374797,3.009168,13.49961,0.2791605,43.25449,6.406064,LEFT_ACCELERATE
-1,6.736954,6.082128,-1,3.328072,13.32012,0.2791621,44.65195,6.500708,LEFT_ACCELERATE
-1,6.46943,5.795952,-1,3.597694,12.9913,0.2791789,46.09619,6.60035,LEFT_ACCELERATE
-1,6.312733,5.572383,-1,3.783191,12.45963,0.27918,47.52363,6.702849,LEFT_ACCELERATE
-1,5.970397,5.386039,-1,4.042169,11.8228,0.2791708,48.90582,6.805071,LEFT_ACCELERATE
-1,5.613632,5.134959,-1,4.362534,11.1431,0.2791699,50.2205,6.904515,LEFT_ACCELERATE
-1,5.419153,4.867785,-1,4.577569,10.3227,0.279187,51.4508,7.004037,LEFT_ACCELERATE
-1,5.463093,4.682043,-1,4.633444,9.307476,0.2792041,52.54147,7.104459,LEFT_ACCELERATE
-1,5.581024,4.627946,-1,4.622231,8.144592,0.2791937,53.45657,7.204095,LEFT_ACCELERATE
-1,5.640676,4.62444,-1,4.611704,6.847794,0.2791863,54.27344,7.307172,LEFT_ACCELERATE
-1,5.924622,4.678949,8.480094,4.527804,5.570328,0.2792014,54.86852,7.402066,LEFT_ACCELERATE
-1,6.646625,4.896188,6.516041,4.324239,4.070743,0.279211,55.27051,7.50677,LEFT_ACCELERATE
-1,7.401763,5.228644,5.502214,4.042566,2.670429,0.2791972,55.41973,7.601623,LEFT_ACCELERATE
-1,8.006439,5.606497,4.849822,3.674407,1.15839,0.2791816,55.44025,7.703257,LEFT_ACCELERATE
-1,8.208255,5.892839,4.611618,3.339797,-0.3936028,0.2791685,55.43144,7.807489,ACCELERATE
-1,8.173609,6.034934,4.632759,3.170675,-1.8257,0.2791628,55.45709,7.903672,ACCELERATE
-1,8.101103,6.076906,4.714093,3.130559,-3.332392,0.2791616,55.51053,8.004897,ACCELERATE
-1,8.012431,6.042,4.814587,3.178279,-4.756495,0.2791605,55.5766,8.100612,ACCELERATE
-1,7.914483,5.960044,4.929784,3.259366,-6.299072,0.27916,55.65771,8.204315,LEFT_ACCELERATE
-1,8.20912,5.910939,4.740374,3.290616,-7.827893,0.2791633,55.68713,8.307048,LEFT_ACCELERATE
-1,9.250916,6.032736,4.19247,3.195039,-9.222745,0.2791817,55.57134,8.401215,LEFT_ACCELERATE
-1,-1,6.486081,3.405,2.919529,-10.72245,0.2791901,55.22394,8.504874,LEFT_ACCELERATE
8.266123,-1,7.12269,2.701024,2.483801,-12.10288,0.2791802,54.73761,8.603271,LEFT_ACCELERATE
6.263731,-1,7.68491,2.104344,1.951621,-13.46326,0.2791668,54.22569,8.700904,RIGHT_ACCELERATE
6.011593,-1,8.006801,1.662648,1.461488,-14.94521,0.279177,53.79557,8.804678,RIGHT_ACCELERATE
-1,-1,8.081811,1.496531,1.19591,-16.37012,0.2791953,53.57623,8.901748,RIGHT_ACCELERATE
-1,-1,8.011825,1.731887,1.191547,-17.83858,0.2792161,53.60145,9.000754,RIGHT_ACCELERATE
-1,9.207747,7.863971,2.729422,1.530799,-19.35028,0.2792144,53.93238,9.105174,RIGHT_ACCELERATE
-1,7.921617,7.584274,4.813163,2.174435,-20.74866,0.2791984,54.49447,9.206735,RIGHT_ACCELERATE
-1,6.95998,7.116737,-1,2.950385,-22.00247,0.2791812,55.14849,9.301785,RIGHT_ACCELERATE
-1,6.080507,6.366202,-1,3.834913,-23.36528,0.279166,55.89911,9.406269,LEFT_ACCELERATE
9.299659,5.412198,5.583742,-1,4.570868,-24.62429,0.2791656,56.51413,9.500445,LEFT_ACCELERATE
8.745327,4.845673,4.827475,-1,5.146042,-26.05212,0.2791815,57.02822,9.602565,LEFT_ACCELERATE
8.900024,4.507853,4.240371,-1,5.442847,-27.54302,0.2792044,57.30992,9.704823,LEFT_ACCELERATE
9.824251,4.46002,3.878756,-1,5.514343,-29.04215,0.2792153,57.29833,9.805949,LEFT_ACCELERATE
-1,4.668454,3.767326,-1,5.470138,-30.4726,0.2792121,57.00729,9.90451,LEFT_ACCELERATE
-1,4.977645,3.840647,-1,5.361456,-31.88604,0.2791957,56.47443,10.00636,LEFT_ACCELERATE
-1,5.144255,3.960235,-1,5.236908,-33.15306,0.2791785,55.85278,10.10122,LEFT_ACCELERATE
-1,5.087767,4.038371,-1,5.178527,-34.51696,0.2791693,55.13229,10.2048,LEFT_ACCELERATE
-1,5.134498,4.064345,-1,5.140171,-35.79247,0.279171,54.35181,10.30534,LEFT_ACCELERATE
-1,5.46093,4.169078,9.767179,5.027675,-36.96008,0.2791972,53.39976,10.40681,LEFT_ACCELERATE
-1,6.130392,4.423347,7.326236,4.823283,-37.89167,0.2792139,52.31858,10.50306,LEFT_ACCELERATE
-1,6.96848,4.841845,6.009073,4.496164,-38.67069,0.2792018,51.02468,10.60487,LEFT_ACCELERATE
-1,7.610848,5.27771,5.25768,4.07349,-39.29026,0.2791858,49.659,10.70572,LEFT_ACCELERATE
-1,7.807312,5.617992,4.966113,3.661473,-39.84761,0.2791705,48.29234,10.80485,LEFT_ACCELERATE
-1,7.628479,5.793156,5.143379,3.413767,-40.4283,0.2791643,46.94262,10.90352,ACCELERATE
-1,7.31034,5.856694,5.750651,3.341841,-41.03529,0.2791608,45.6042,11.0022,ACCELERATE
-1,6.907146,5.80889,6.952808,3.446796,-41.65772,0.2791609,44.27465,11.10076,ACCELERATE
-1,6.402182,5.641289,9.020111,3.724933,-42.33495,0.2791606,42.85722,11.20623,ACCELERATE
-1,5.868783,5.38752,-1,4.131488,-42.96346,0.2791593,41.5584,11.3031,ACCELERATE
-1,5.27157,5.037678,-1,4.683667,-43.61031,0.2791606,40.2323,11.40215,ACCELERATE
9.794489,4.584566,4.568377,-1,5.414613,-44.30131,0.2791599,38.82353,11.50749,ACCELERATE
8.354224,3.901896,4.018713,-1,6.138617,-44.95343,0.2791598,37.49473,11.60687,LEFT_ACCELERATE
7.687251,3.318151,3.368217,-1,6.672093,-45.55083,0.2791626,36.15654,11.70533,LEFT_ACCELERATE
8.421041,2.943009,2.764088,-1,6.919237,-46.00166,0.2791799,34.78418,11.80252,LEFT_ACCELERATE
-1,2.890901,2.403943,-1,6.93762,-46.24335,0.2792059,33.33772,11.90134,LEFT_ACCELERATE
-1,3.267439,2.362493,9.89604,6.839868,-46.2303,0.2792015,31.87177,12.00012,LEFT_ACCELERATE
-1,4.023731,2.584791,8.620677,6.653669,-46.00568,0.2791858,30.3126,12.1061,LEFT_ACCELERATE
-1,4.740542,2.888242,7.95016,6.399477,-45.71565,0.2791723,28.88295,12.20407,LEFT_ACCELERATE
-1,5.219919,3.170313,7.586023,6.120891,-45.44018,0.2791639,27.45232,12.30191,ACCELERATE
-1,5.664544,3.442371,7.251221,5.848171,-45.17267,0.2791616,25.90639,12.40725,ACCELERATE
-1,6.045187,3.675025,6.964142,5.615103,-44.94299,0.279161,24.48143,12.50415,ACCELERATE
-1,6.413874,3.900036,6.685887,5.389835,-44.72075,0.2791591,23.03788,12.60221,ACCELERATE
-1,6.77168,4.118168,6.415772,5.171546,-44.50538,0.2791604,21.59447,12.70018,ACCELERATE
-1,7.147253,4.346951,6.132226,4.942663,-44.27883,0.2791599,20.04281,12.80546,ACCELERATE
-1,7.492843,4.557352,5.871328,4.732209,-44.06985,0.2791606,18.59068,12.90395,ACCELERATE
-1,7.835225,4.765718,5.612876,4.523815,-43.8645,0.27916,17.1502,13.00164,ACCELERATE
-1,8.176125,4.973119,5.355572,4.316401,-43.65894,0.2791609,15.69919,13.10002,ACCELERATE
-1,8.538464,5.193516,5.082117,4.096003,-43.44092,0.2791598,14.15349,13.20482,ACCELERATE
-1,8.875681,5.398598,4.827647,3.890927,-43.23766,0.2791598,12.7082,13.3028,ACCELERATE
-1,9.212167,5.603209,4.573756,3.686326,-43.03527,0.2791595,11.26644,13.40054,ACCELERATE
-1,9.574133,5.823291,4.300665,3.466257,-42.81762,0.2791601,9.713993,13.50578,ACCELERATE
-1,9.907256,6.02582,4.049359,3.263746,-42.61687,0.2791597,8.280983,13.60293,ACCELERATE
-1,-1,6.230649,3.795201,3.058934,-42.41426,0.2791609,6.833966,13.70102,ACCELERATE
-1,-1,6.450545,3.522354,2.839057,-42.19666,0.2791604,5.279417,13.80641,ACCELERATE
-1,-1,6.6529,3.271278,2.636721,-41.9955,0.2791602,3.842089,13.90384,ACCELERATE
-1,-1,6.858457,3.016235,2.431184,-41.79133,0.2791601,2.383041,14.00275,ACCELERATE
-1,-1,7.070823,2.752752,2.218839,-41.58081,0.2791599,0.8773588,14.10482,RIGHT_ACCELERATE
-1,-1,7.220984,2.592345,2.034405,-41.41236,0.2791636,-0.5535265,14.20158,RIGHT_ACCELERATE
-1,-1,7.238916,2.6955,1.965624,-41.36563,0.2791714,-2.026272,14.30066,RIGHT_ACCELERATE
-1,-1,7.182496,2.885775,2.018065,-41.42266,0.2791661,-3.587058,14.40556,ACCELERATE
-1,9.967988,7.12922,2.963353,2.071389,-41.47482,0.2791624,-5.035466,14.50286,ACCELERATE
-1,9.909991,7.086038,3.02435,2.114546,-41.51707,0.2791599,-6.584831,14.60692,ACCELERATE
-1,9.866734,7.053889,3.069762,2.146675,-41.54872,0.2791604,-8.047508,14.70514,ACCELERATE
-1,9.830641,7.027267,3.107443,2.173285,-41.57502,0.2791604,-9.504333,14.80296,ACCELERATE
-1,9.799011,7.004081,3.140319,2.196462,-41.59799,0.27916,-10.97077,14.90143,ACCELERATE
-1,9.768688,6.981964,3.171724,2.218572,-41.61997,0.2791603,-12.5408,15.00684,ACCELERATE
-1,9.742566,6.962986,3.198705,2.237546,-41.63885,0.27916,-14.00324,15.10503,ACCELERATE
-1,9.718107,6.945263,3.223922,2.255265,-41.65636,0.2791609,-15.4396,15.20147,ACCELERATE
-1,9.675638,6.927109,3.249767,2.273416,-41.67464,0.2791604,-17.00381,15.30649,ACCELERATE
-1,9.569015,6.910577,3.273314,2.289946,-41.69102,0.2791602,-18.44668,15.40336,ACCELERATE
-1,9.380747,6.894305,3.296498,2.306216,-41.70723,0.2791605,-19.90482,15.50126,ACCELERATE
-1,9.099639,6.877354,3.340814,2.323165,-41.7243,0.2791604,-21.46441,15.60597,ACCELERATE
-1,8.761263,6.861547,3.528934,2.338969,-41.74,0.2791596,-22.91247,15.70319,ACCELERATE
-1,8.356936,6.822187,3.952308,2.395781,-41.75558,0.2791599,-24.36184,15.8005,ACCELERATE
-1,7.867348,6.709411,4.849278,2.558591,-41.77192,0.2791606,-25.88928,15.90305,ACCELERATE
-1,7.301547,6.507675,7.294755,2.855395,-41.78833,0.2791598,-27.43242,16.00665,ACCELERATE
-1,6.727966,6.248575,-1,3.261092,-41.80345,0.2791597,-28.85821,16.10238,ACCELERATE
-1,6.053478,5.883518,-1,3.864768,-41.81948,0.2791605,-30.37381,16.20414,ACCELERATE
8.898554,5.371691,5.455739,-1,4.625597,-41.83456,0.2791599,-31.80368,16.30014,LEFT_ACCELERATE
7.593148,4.622359,4.836763,-1,5.583167,-41.81998,0.2791609,-33.34591,16.40372,LEFT_ACCELERATE
6.810211,3.996626,4.150091,-1,6.29711,-41.66842,0.2791767,-34.84625,16.50517,LEFT_ACCELERATE
