ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521184,4.611091,6.489583,4.588911,15.98927,0.275338,3.107704,0.3733333,NONE
-1,6.520454,4.610731,6.490313,4.58927,15.98936,0.2754073,3.108526,0.4258782,NONE
-1,6.520329,4.610643,6.490438,4.589358,15.98941,0.2754223,3.108964,0.4549075,NONE
-1,6.520256,4.610592,6.490511,4.589409,15.98942,0.275425,3.109084,0.4629688,NONE
-1,6.520145,4.610514,6.490622,4.589488,15.9895,0.2754305,3.109686,0.5046623,NONE
-1,6.519855,4.61031,6.490911,4.589692,15.98972,0.2754334,3.111155,0.6149454,NONE
-1,6.519559,4.610101,6.491208,4.5899,15.98992,0.2754335,3.112213,0.7036649,NONE
-1,6.519237,4.609873,6.49153,4.590128,15.99014,0.2754326,3.113305,0.8059334,ACCELERATE
-1,6.518917,4.609646,6.491851,4.590355,15.99039,0.2754317,3.114284,0.9107964,NONE
-1,6.518565,4.609397,6.492202,4.590604,15.99062,0.2754324,3.115037,1.003602,NONE
-1,6.518509,4.609327,6.492258,4.590674,15.99067,0.2754335,3.115714,1.100341,NONE
-1,6.518514,4.609327,6.492252,4.590674,15.99067,0.2754343,3.116317,1.20333,NONE
-1,6.518492,4.609323,6.492275,4.590679,15.99068,0.2754316,3.116806,1.307468,NONE
-1,6.51849,4.609322,6.492277,4.59068,15.99068,0.2754315,3.117157,1.404777,NONE
-1,6.518493,4.609321,6.492275,4.590681,15.99068,0.2754315,3.117424,1.507925,NONE
-1,6.518493,4.60932,6.492275,4.590682,15.99068,0.2754313,3.117578,1.607067,NONE
-1,6.51849,4.609318,6.492278,4.590683,15.99068,0.2754307,3.117637,1.708725,NONE
-1,6.518495,4.609321,6.492273,4.590681,15.99068,0.2754309,3.117606,1.802468,NONE
-1,6.518497,4.609322,6.492271,4.59068,15.99068,0.2754316,3.117478,1.907125,NONE
-1,6.518496,4.609321,6.492271,4.590681,15.99068,0.2754313,3.117264,2.007748,NONE
-1,6.518496,4.609321,6.49227,4.590681,15.99068,0.2754313,3.116986,2.101752,NONE
-1,6.518495,4.60932,6.492271,4.590682,15.99068,0.2754308,3.116602,2.203657,NONE
-1,6.518497,4.609321,6.492269,4.590681,15.99068,0.2754318,3.116133,2.306437,NONE
-1,6.518498,4.609321,6.492269,4.590681,15.99068,0.2754308,3.115621,2.402305,NONE
-1,6.518499,4.609321,6.492268,4.590681,15.99068,0.2754313,3.114984,2.507037,NONE
-1,6.518499,4.609321,6.492267,4.590681,15.99068,0.275432,3.114328,2.603585,NONE
-1,6.5185,4.609321,6.492266,4.590681,15.99068,0.2754299,3.113563,2.70566,NONE
-1,6.5185,4.609321,6.492266,4.590681,15.99068,0.2754303,3.112753,2.804668,NONE
-1,6.518503,4.609322,6.492264,4.59068,15.99068,0.2754319,3.111866,2.905371,NONE
-1,6.518504,4.609322,6.492263,4.59068,15.99068,0.2754303,3.110966,3.000888,NONE
-1,6.518503,4.609321,6.492264,4.590681,15.99068,0.2754301,3.109919,3.105224,NONE
-1,6.518505,4.609322,6.492262,4.59068,15.99068,0.2754314,3.108901,3.201176,NONE
-1,6.518505,4.609322,6.492261,4.59068,15.99068,0.2754299,3.107745,3.304508,NONE
-1,6.518491,4.609311,6.492276,4.59069,15.99069,0.2754293,3.106607,3.401388,NONE
-1,6.518492,4.609311,6.492275,4.59069,15.99069,0.2754301,3.105334,3.50512,NONE
-1,6.518493,4.609311,6.492274,4.59069,15.99069,0.2754312,3.10407,3.603887,NONE
-1,6.518492,4.60931,6.492275,4.590691,15.99069,0.2754308,3.102782,3.700958,NONE
-1,6.518494,4.609311,6.492273,4.59069,15.99069,0.2754307,3.101358,3.804418,NONE
-1,6.518493,4.60931,6.492273,4.590691,15.99069,0.2754309,3.099956,3.902959,NONE
-1,6.518495,4.609311,6.492272,4.59069,15.99069,0.2754322,3.098463,4.004653,NONE
-1,6.518497,4.609312,6.49227,4.590689,15.99069,0.2754283,3.097015,4.100712,NONE
-1,6.518497,4.609311,6.49227,4.59069,15.99069,0.2754324,3.095422,4.203317,NONE
-1,6.518497,4.609311,6.49227,4.59069,15.99069,0.2754287,3.093822,4.303784,NONE
-1,6.518498,4.609311,6.492269,4.59069,15.99069,0.2754301,3.092147,4.406305,NONE
-1,6.5185,4.609312,6.492267,4.590689,15.99069,0.2754304,3.09058,4.500124,NONE
-1,6.5185,4.609311,6.492268,4.59069,15.99069,0.2754306,3.088824,4.60295,NONE
-1,6.5185,4.609311,6.492267,4.59069,15.99069,0.2754294,3.087055,4.704422,NONE
-1,6.518501,4.609311,6.492266,4.59069,15.99069,0.2754279,3.085247,4.806113,NONE
-1,6.518503,4.609312,6.492264,4.590689,15.99069,0.2754306,3.083509,4.902077,NONE
-1,6.518502,4.609311,6.492265,4.59069,15.99069,0.2754298,3.081641,5.003433,NONE
-1,6.518504,4.609312,6.492263,4.590689,15.99069,0.2754291,3.079736,5.10515,NONE
-1,6.518505,4.609312,6.492263,4.590689,15.99069,0.2754304,3.077796,5.206984,NONE
-1,6.518506,4.609312,6.492261,4.590689,15.99069,0.2754303,3.075924,5.30381,NONE
-1,6.518505,4.609311,6.492262,4.59069,15.99069,0.2754294,3.074005,5.401693,NONE
-1,6.518505,4.609311,6.492262,4.59069,15.99069,0.27543,3.071835,5.510897,NONE
-1,6.518506,4.609311,6.492261,4.59069,15.99069,0.2754281,3.069987,5.602596,NONE
-1,6.518507,4.609311,6.492261,4.59069,15.99069,0.2754334,3.067911,5.704357,NONE
-1,6.518507,4.609311,6.49226,4.59069,15.99069,0.2754305,3.065658,5.813487,NONE
